filename,category,title,url
01_tencent_2024_annual_report.pdf,official,Tencent 2024 Annual Report,https://static.www.tencent.com/uploads/2025/03/19/f55938d61be94cf9700a971a4db08809.pdf
02_tencent_4q23_results.pdf,official,Tencent 4Q23 Results,https://static.www.tencent.com/uploads/2024/03/20/77e0ebaf83f2fe36dac418e9fed68f5b.pdf
03_tencent_3q23_results.pdf,official,Tencent 3Q23 Results,https://static.www.tencent.com/uploads/2023/11/15/b7d902f720c9fd3a56b5f3e1652ed793.pdf
04_tencent_corporate_overview_2024.pdf,official,Digital Ecosystem Fulfilling Needs of Customers and Enterprises,https://static.www.tencent.com/uploads/2024/03/22/ead8e037916ebd3e3ccac9952e84fd85.pdf
05_tencent_weixin_channels_growth_2023.md,official,Weixin Channels Saw Robust Growth in 2022 Furthering its Commercial Potential Backed by Improved Ecosystem,https://www.tencent.com/en-us/articles/2201518.html
06_geekpark_video_account_learning_from_douyin.md,analysis,加速商业化 视频号摸着抖音过河,https://www.geekpark.net/news/313991
07_36kr_from_video_account_ec_to_wechat_ec.md,analysis,从视频号电商到微信电商 腾讯在想什么,https://www.36kr.com/p/2924319982443140
08_jiemian_video_account_ec_org_change.md,analysis,并入微信开放平台团队 视频号直播电商再次加速,https://www.jiemian.com/article/11242648.html
09_21jingji_wechat_ec_repositioning.md,analysis,腾讯调整直播电商定位 不再局限于视频号 而是立足整个微信生态,https://www.21jingji.com/article/20240815/herald/de7236964bf784099f779106eb39ab42.html
10_woshipm_video_account_back_wechat_ec_forward.md,analysis,腾讯视频号向后 微信生态向前,https://www.woshipm.com/share/6100609.html
11_sina_wechat_open_class_2024_video_account_data.md,report,视频号带货高增长 微信电商吹响新集结号,https://finance.sina.com.cn/jjxw/2024-01-27/doc-inaewywq4091029.shtml
12_oceanengine_douyin_platform_overview.md,official,抖音营销 抖音营销投放平台 抖音营销 巨量引擎官网,https://www.oceanengine.com/resource/douyin
13_oceanengine_douyin_search.md,official,抖音搜索营销 搜索营销 巨量引擎官网,https://www.oceanengine.com/resource/douyin/search
14_oceanengine_tcb_brand_business.md,official,在抖音 重做日化品牌,https://www.oceanengine.com/help/639
15_questmobile_2024_media_ecology_report.md,report,QuestMobile 行业研究报告,https://www.questmobile.cn/research/report/1871401635281997826
16_leikeji_douyin_search_app.md,analysis,推抖音搜索App四战搜索 字节这次真要颠覆百度了,https://www.leikeji.com/article/65058
17_tencent_1q25_results.pdf,official,腾讯公布二零二五年第一季业绩,https://static.www.tencent.com/uploads/2025/05/14/734bb4f90c4f7000bd10186a45969cbc.pdf
18_tencent_2q25_results.pdf,official,腾讯公布二零二五年第二季业绩,https://static.www.tencent.com/uploads/2025/08/13/ecefb761a973b6813629ba87514f7477.pdf
19_tencent_3q25_results.pdf,official,腾讯公布二零二五年第三季业绩,https://static.www.tencent.com/uploads/2025/11/13/62022d4f181b7c4d22127a6460d2eab6.pdf
20_tencent_4q25_annual_results.pdf,official,腾讯公布二零二五年年度及第四季业绩,https://static.www.tencent.com/uploads/2026/03/18/559e5d480a4411165e6c7367d61fefbd.pdf
21_tencent_smart_retail_growth_guide_2024.pdf,official,腾讯智慧零售2024全域经营增长指南,https://file.retail.tencent.com/files/default/2025/1/7a65bf6309c4408eb45a7ce5bba8fc5e.pdf
22_tencent_star_model_user_to_growth.pdf,official,STAR模型一从用户运营到生意增长,https://file.retail.tencent.com/files/default/2023/3/52ae21d7cf5842ea84d37425a88f329c.pdf
23_cnnic_55_report.md,official,CNNIC第55次报告网页版,https://www.cnnic.net/n4/2025/0117/c88-11229.html
24_oceanengine_search_launch_whitepaper.md,official,搜索广告首秀计划收官白皮书,https://www.oceanengine.com/insight/686
25_oceanengine_douyin_business_account.md,official,抖音企业号抖音商家官方认证,https://www.oceanengine.com/resource/douyin/qiyehao
26_oceanengine_awards_xgimi_case.md,official,巨量引擎共擎奖案例星图加X跑通泛商城,https://agent.oceanengine.com/awardsDetail/17342
27_cnnic_55_full_report.pdf,official,CNNIC第55次中国互联网络发展状况统计报告PDF,https://www.cnnic.net.cn/NMediaFile/2025/0117/MAIN1737100758200NNZ5AVJ3C1.pdf
28_sina_video_account_where_did_traffic_go.md,analysis,视频号的流量都去哪儿了,https://finance.sina.com.cn/tech/roll/2026-01-09/doc-inhftcfr0459933.shtml
29_xigua_mid_video_partner_plan.md,official,西瓜中视频伙伴计划,https://creator.douyin.com/ixigua/mvp?enter_from=after_post_popup
30_questmobile_2025_new_media_ecosystem.md,report,QuestMobile2025新媒体生态盘点,https://www.questmobile.cn/research/report/2000767092954075138/
31_questmobile_2025_ecosystem_flow_annual.md,report,QuestMobile2025全景生态流量年度报告,https://www.questmobile.com.cn/research/report/2018573146077106178/
33_oceanengine_awards_outdoor_brand_case.md,official,巨量引擎共擎奖从零打造户外top抖品牌案例,https://agent.oceanengine.com/awardsDetail/17424
34_tencent_1q23_results.pdf,official,腾讯公布二零二三年第一季业绩,https://static.www.tencent.com/uploads/2023/05/17/2a29b622f5f47130fd062e2299b4635b.pdf
